time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1590192107.80001879,0.00438585,0.00267312,-nan,1491.00000000,0.00438585,0.000000,0.000000
1590192107.90033865,0.00372434,0.00188208,-nan,2527.00000000,0.00306283,0.000000,0.000000
1590192108.00019431,0.00356309,0.00207169,-nan,3394.00000000,0.00324059,0.000000,0.000000
1590192108.10003424,0.00341346,0.00185325,-nan,4135.00000000,0.00296456,0.000000,0.000000
1590192108.20035434,0.00469338,0.00156188,0.00000225,4509.00000000,0.00981305,0.000000,0.000000
1590192108.30019426,0.00490804,0.00156569,0.00000220,4992.00000000,0.00598134,0.000000,0.000000
1590192108.40003419,0.00527254,0.00208527,0.00000270,5513.00000000,0.00745959,0.000000,0.000000
1590192108.50035429,0.00537802,0.00153851,0.00000240,5936.00000000,0.00611639,0.000000,0.000000
1590192108.60019422,0.00566991,0.00203257,0.00000256,6320.00000000,0.00800500,0.000000,0.000000
1590192108.70003438,0.00582113,0.00190746,0.00000236,6645.00000000,0.00718206,0.000000,0.000000
1590192108.80035424,0.00585127,0.00167826,0.00000243,6914.00000000,0.00615272,0.000000,0.000000
1590192108.90019441,0.00595510,0.00170073,0.00000259,7023.00000000,0.00709722,0.000000,0.000000
1590192109.00004983,0.00606366,0.00185584,0.00000247,7274.00000000,0.00736637,0.000000,0.000000
1590192109.10036993,0.00607293,0.00140715,0.00000244,7416.00000000,0.00619341,0.000000,0.000000
1590192109.20020986,0.00632279,0.00115526,0.00000219,6696.00000000,0.00982083,0.000000,0.000000
1590192109.30005002,0.00626989,0.00117386,0.00000217,7056.00000000,0.00547647,0.000000,0.000000
1590192109.40036988,0.00622124,0.00105999,0.00000236,7348.00000000,0.00544280,0.000000,0.000000
1590192109.50020981,0.00616791,0.00108872,0.00000239,7598.00000000,0.00526127,0.000000,0.000000
1590192109.60004997,0.00623776,0.00180846,0.00000281,7830.00000000,0.00749504,0.000000,0.000000
1590192109.70036983,0.00622823,0.00123549,0.00000246,8047.00000000,0.00604713,0.000000,0.000000
1590192109.80021000,0.00622123,0.00118023,0.00000242,8232.00000000,0.00608139,0.000000,0.000000
1590192109.90004992,0.00622360,0.00120621,0.00000258,8393.00000000,0.00627339,0.000000,0.000000
1590192110.00038552,0.00625580,0.00159497,0.00000261,8524.00000000,0.00696412,0.000000,0.000000
1590192110.10022545,0.00624834,0.00135055,0.00000262,8700.00000000,0.00607682,0.000000,0.000000
1590192110.20006561,0.00624383,0.00118856,0.00000262,8778.00000000,0.00613554,0.000000,0.000000
1590192110.30038548,0.00622596,0.00121494,0.00000241,8897.00000000,0.00577905,0.000000,0.000000
1590192110.40022564,0.00623345,0.00114949,0.00000259,9050.00000000,0.00642834,0.000000,0.000000
1590192110.50006557,0.00626425,0.00157596,0.00000269,9208.00000000,0.00709573,0.000000,0.000000
1590192110.60038543,0.00624439,0.00107159,0.00000254,9305.00000000,0.00568831,0.000000,0.000000
1590192110.70022559,0.00621796,0.00105196,0.00000255,9382.00000000,0.00545169,0.000000,0.000000
1590192110.80006552,0.00625405,0.00167771,0.00000270,9474.00000000,0.00733660,0.000000,0.000000
1590192110.90038562,0.00623343,0.00112420,0.00000236,9386.00000000,0.00559440,0.000000,0.000000
1590192111.00024152,0.00622954,0.00126915,0.00000254,9437.00000000,0.00610494,0.000000,0.000000
1590192111.10008144,0.00625001,0.00181960,0.00000275,9480.00000000,0.00692535,0.000000,0.000000
1590192111.20040131,0.00624932,0.00119849,0.00000269,9383.00000000,0.00622616,0.000000,0.000000
1590192111.30024147,0.00623835,0.00104313,0.00000261,9346.00000000,0.00585424,0.000000,0.000000
1590192111.40008140,0.00623858,0.00113597,0.00000280,9409.00000000,0.00624682,0.000000,0.000000
1590192111.50040150,0.00623322,0.00119130,0.00000266,9408.00000000,0.00603499,0.000000,0.000000
1590192111.60024142,0.00622547,0.00111496,0.00000272,9413.00000000,0.00593075,0.000000,0.000000
1590192111.70008135,0.00624932,0.00154312,0.00000264,9514.00000000,0.00717970,0.000000,0.000000
1590192111.80040145,0.00625953,0.00141745,0.00000256,9506.00000000,0.00666777,0.000000,0.000000
1590192111.90024137,0.00624954,0.00109195,0.00000260,9549.00000000,0.00583996,0.000000,0.000000
1590192112.00009704,0.00623241,0.00104232,0.00000247,9569.00000000,0.00551310,0.000000,0.000000
1590192112.10041714,0.00625234,0.00148804,0.00000276,9594.00000000,0.00710911,0.000000,0.000000
1590192112.20025706,0.00626377,0.00153289,0.00000251,9648.00000000,0.00676672,0.000000,0.000000
1590192112.30009699,0.00629793,0.00189834,0.00000270,9645.00000000,0.00783519,0.000000,0.000000
1590192112.40041709,0.00628303,0.00109253,0.00000249,9690.00000000,0.00559785,0.000000,0.000000
1590192112.50025702,0.00627352,0.00112453,0.00000233,9729.00000000,0.00582623,0.000000,0.000000
1590192112.60009694,0.00626480,0.00111207,0.00000251,9760.00000000,0.00584629,0.000000,0.000000
1590192112.70041704,0.00625603,0.00118423,0.00000233,9826.00000000,0.00582661,0.000000,0.000000
1590192112.80025697,0.00625862,0.00112976,0.00000254,9843.00000000,0.00638813,0.000000,0.000000
1590192112.90009713,0.00627104,0.00153936,0.00000254,9962.00000000,0.00690428,0.000000,0.000000
1590192113.00043273,0.00628194,0.00154300,0.00000266,10026.00000000,0.00684872,0.000000,0.000000
1590192113.10027266,0.00626435,0.00105574,0.00000252,10005.00000000,0.00533190,0.000000,0.000000
1590192113.20011258,0.00627427,0.00139447,0.00000250,10047.00000000,0.00681017,0.000000,0.000000
1590192113.30043268,0.00626268,0.00105461,0.00000243,10035.00000000,0.00562508,0.000000,0.000000
1590192113.40027261,0.00624704,0.00098045,0.00000267,10122.00000000,0.00537125,0.000000,0.000000
1590192113.50011253,0.00625952,0.00145513,0.00000293,10173.00000000,0.00697104,0.000000,0.000000
1590192113.60043263,0.00625665,0.00117654,0.00000288,10218.00000000,0.00609034,0.000000,0.000000
1590192113.70027256,0.00624596,0.00098740,0.00000300,10241.00000000,0.00561471,0.000000,0.000000
1590192113.80011272,0.00625840,0.00143415,0.00000291,10273.00000000,0.00700520,0.000000,0.000000
1590192113.90043259,0.00624986,0.00101548,0.00000249,10337.00000000,0.00572900,0.000000,0.000000
1590192114.00028825,0.00623483,0.00094405,0.00000240,10395.00000000,0.00530280,0.000000,0.000000
1590192114.10012817,0.00622484,0.00103278,0.00000253,10478.00000000,0.00559535,0.000000,0.000000
1590192114.20044827,0.00620857,0.00096457,0.00000260,10486.00000000,0.00516758,0.000000,0.000000
1590192114.30028820,0.00621741,0.00163585,0.00000251,10526.00000000,0.00679203,0.000000,0.000000
1590192114.40012836,0.00622307,0.00116848,0.00000254,10563.00000000,0.00659643,0.000000,0.000000
1590192114.50044823,0.00623246,0.00148881,0.00000270,10588.00000000,0.00686162,0.000000,0.000000
1590192114.60028815,0.00624319,0.00156566,0.00000255,10622.00000000,0.00697246,0.000000,0.000000
1590192114.70012832,0.00623111,0.00099055,0.00000251,10571.00000000,0.00539789,0.000000,0.000000
1590192114.80044818,0.00622392,0.00108810,0.00000254,10608.00000000,0.00572091,0.000000,0.000000
